user_message,intent,entities,bot_response,user,bot,timestamp
Hi,greeting,[],Hello! 😊 How can I help you today?,,,
how are you,greeting,[],Hello! 😊 How can I help you today?,,,
i have a one doubt,greeting,"[['one', 'CARDINAL']]",Hello! 😊 How can I help you today?,,,
i wanna deep learning ai chat box,greeting,[],Hello! 😊 How can I help you today?,,,
hi,unknown,[],AI service is temporarily unavailable.,,,
hello,unknown,[],AI service is temporarily unavailable.,,,
how are you,unknown,[],AI service is temporarily unavailable.,,,
hi,unknown,[],AI service is temporarily unavailable.,,,
hello,unknown,[],AI service is temporarily unavailable.,,,
hi,unknown,[],AI service is temporarily unavailable.,,,
hi,greeting,[],Hello! 😊 How can I help you today?,,,
i want ticking boking,unknown,[],I'm not sure I understand. Can you please rephrase?,,,
hi,,,Hi there!,,,
how are you,,,"Sorry, I didn't understand that.",,,
,,,,hi,I'm not fully sure what you mean. Could you rephrase that?,2026-03-02 03:59:03.077
,,,,hello,I'm not fully sure what you mean. Could you rephrase that?,2026-03-02 04:01:11.469
,,,,hello,I'm not fully sure what you mean. Could you rephrase that?,2026-03-02 04:03:17.592
,,,,hi,I'm not fully sure what you mean. Could you rephrase that?,2026-03-02 04:03:28.301
,,,,hi,"Error generating response: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",2026-03-02 04:34:35.091
,,,,hi,It's nice to meet you. Is there something I can help you with or would you like to chat?,2026-03-02 04:38:38.700
